"","YEAR","MONTH","TEMPERATURE","CITY","DATE"
"1435",1994,"FEB",26.7,"Barranquilla",1994-02-01
"1436",1995,"FEB",27.3,"Barranquilla",1995-02-01
"1437",1996,"FEB",27.4,"Barranquilla",1996-02-01
"1438",1997,"FEB",27.3,"Barranquilla",1997-02-01
"1439",1998,"FEB",28.3,"Barranquilla",1998-02-01
"1440",1999,"FEB",26.3,"Barranquilla",1999-02-01
"1441",2000,"FEB",26.6,"Barranquilla",2000-02-01
"1442",2001,"FEB",25.8,"Barranquilla",2001-02-01
"1443",2002,"FEB",28,"Barranquilla",2002-02-01
"1444",2003,"FEB",28.5,"Barranquilla",2003-02-01
"1445",2004,"FEB",27.6,"Barranquilla",2004-02-01
"1446",2005,"FEB",27.5,"Barranquilla",2005-02-01
"1447",2006,"FEB",27.4,"Barranquilla",2006-02-01
"1448",2007,"FEB",27.7,"Barranquilla",2007-02-01
"1449",2008,"FEB",27,"Barranquilla",2008-02-01
"1450",2009,"FEB",26.9,"Barranquilla",2009-02-01
"1451",2010,"FEB",28.1,"Barranquilla",2010-02-01
"1452",2011,"FEB",26.3,"Barranquilla",2011-02-01
"1453",2012,"FEB",26.3,"Barranquilla",2012-02-01
"1454",2013,"FEB",27.4,"Barranquilla",2013-02-01
"1455",2014,"FEB",26.9,"Barranquilla",2014-02-01
"1456",2015,"FEB",27.6,"Barranquilla",2015-02-01
"1457",1966,"MAR",999.9,"Barranquilla",1966-03-01
"1458",1967,"MAR",26.1,"Barranquilla",1967-03-01
"1459",1968,"MAR",26.5,"Barranquilla",1968-03-01
"1460",1969,"MAR",27.7,"Barranquilla",1969-03-01
"1461",1970,"MAR",27.1,"Barranquilla",1970-03-01
"1462",1971,"MAR",26.4,"Barranquilla",1971-03-01
"1463",1972,"MAR",999.9,"Barranquilla",1972-03-01
"1464",1973,"MAR",999.9,"Barranquilla",1973-03-01
"1465",1974,"MAR",999.9,"Barranquilla",1974-03-01
"1466",1975,"MAR",999.9,"Barranquilla",1975-03-01
"1467",1976,"MAR",26.1,"Barranquilla",1976-03-01
"1468",1977,"MAR",26.6,"Barranquilla",1977-03-01
"1469",1978,"MAR",27.5,"Barranquilla",1978-03-01
"1470",1979,"MAR",27.7,"Barranquilla",1979-03-01
"1471",1980,"MAR",26.7,"Barranquilla",1980-03-01
"1472",1981,"MAR",28,"Barranquilla",1981-03-01
"1473",1982,"MAR",26.7,"Barranquilla",1982-03-01
"1474",1983,"MAR",28.3,"Barranquilla",1983-03-01
"1475",1984,"MAR",27.2,"Barranquilla",1984-03-01
"1476",1985,"MAR",26.7,"Barranquilla",1985-03-01
"1477",1986,"MAR",27.4,"Barranquilla",1986-03-01
"1478",1987,"MAR",28.3,"Barranquilla",1987-03-01
"1479",1988,"MAR",27.4,"Barranquilla",1988-03-01
"1480",1989,"MAR",27.1,"Barranquilla",1989-03-01
"1481",1990,"MAR",26.8,"Barranquilla",1990-03-01
"1482",1991,"MAR",27.6,"Barranquilla",1991-03-01
"1483",1992,"MAR",27.3,"Barranquilla",1992-03-01
"1484",1993,"MAR",27.7,"Barranquilla",1993-03-01
"1485",1994,"MAR",27.6,"Barranquilla",1994-03-01
"1486",1995,"MAR",27.9,"Barranquilla",1995-03-01
"1487",1996,"MAR",27.7,"Barranquilla",1996-03-01
"1488",1997,"MAR",26.5,"Barranquilla",1997-03-01
"1489",1998,"MAR",28,"Barranquilla",1998-03-01
"1490",1999,"MAR",27.4,"Barranquilla",1999-03-01
"1491",2000,"MAR",26.9,"Barranquilla",2000-03-01
"1492",2001,"MAR",26.8,"Barranquilla",2001-03-01
"1493",2002,"MAR",28.8,"Barranquilla",2002-03-01
"1494",2003,"MAR",27.8,"Barranquilla",2003-03-01
"1495",2004,"MAR",27.5,"Barranquilla",2004-03-01
"1496",2005,"MAR",28.6,"Barranquilla",2005-03-01
"1497",2006,"MAR",27.6,"Barranquilla",2006-03-01
"1498",2007,"MAR",28,"Barranquilla",2007-03-01
"1499",2008,"MAR",999.9,"Barranquilla",2008-03-01
"1500",2009,"MAR",26.7,"Barranquilla",2009-03-01
"1501",2010,"MAR",29.3,"Barranquilla",2010-03-01
"1502",2011,"MAR",27,"Barranquilla",2011-03-01
"1503",2012,"MAR",999.9,"Barranquilla",2012-03-01
"1504",2013,"MAR",28.1,"Barranquilla",2013-03-01
"1505",2014,"MAR",27.4,"Barranquilla",2014-03-01
"1506",2015,"MAR",999.9,"Barranquilla",2015-03-01
"1507",1966,"APR",999.9,"Barranquilla",1966-04-01
"1508",1967,"APR",26.9,"Barranquilla",1967-04-01
"1509",1968,"APR",27,"Barranquilla",1968-04-01
"1510",1969,"APR",27.9,"Barranquilla",1969-04-01
"1511",1970,"APR",27.5,"Barranquilla",1970-04-01
"1512",1971,"APR",27.2,"Barranquilla",1971-04-01
"1513",1972,"APR",999.9,"Barranquilla",1972-04-01
"1514",1973,"APR",999.9,"Barranquilla",1973-04-01
"1515",1974,"APR",999.9,"Barranquilla",1974-04-01
"1516",1975,"APR",999.9,"Barranquilla",1975-04-01
"1517",1976,"APR",27.2,"Barranquilla",1976-04-01
"1518",1977,"APR",27.3,"Barranquilla",1977-04-01
"1519",1978,"APR",28.1,"Barranquilla",1978-04-01
"1520",1979,"APR",27.6,"Barranquilla",1979-04-01
"1521",1980,"APR",28,"Barranquilla",1980-04-01
"1522",1981,"APR",27.5,"Barranquilla",1981-04-01
"1523",1982,"APR",27.4,"Barranquilla",1982-04-01
"1524",1983,"APR",28.2,"Barranquilla",1983-04-01
"1525",1984,"APR",27.6,"Barranquilla",1984-04-01
"1526",1985,"APR",27.2,"Barranquilla",1985-04-01
"1527",1986,"APR",27.9,"Barranquilla",1986-04-01
"1528",1987,"APR",28.9,"Barranquilla",1987-04-01
"1529",1988,"APR",28.3,"Barranquilla",1988-04-01
"1530",1989,"APR",27.2,"Barranquilla",1989-04-01
"1531",1990,"APR",27.9,"Barranquilla",1990-04-01
"1532",1991,"APR",28,"Barranquilla",1991-04-01
"1533",1992,"APR",28.2,"Barranquilla",1992-04-01
"1534",1993,"APR",28.7,"Barranquilla",1993-04-01
"1535",1994,"APR",27.9,"Barranquilla",1994-04-01
"1536",1995,"APR",28.3,"Barranquilla",1995-04-01
"1537",1996,"APR",28,"Barranquilla",1996-04-01
"1538",1997,"APR",27.7,"Barranquilla",1997-04-01
"1539",1998,"APR",28.9,"Barranquilla",1998-04-01
"1540",1999,"APR",28,"Barranquilla",1999-04-01
"1541",2000,"APR",27.6,"Barranquilla",2000-04-01
"1542",2001,"APR",27.3,"Barranquilla",2001-04-01
"1543",2002,"APR",28.7,"Barranquilla",2002-04-01
"1544",2003,"APR",28.6,"Barranquilla",2003-04-01
"1545",2004,"APR",28.2,"Barranquilla",2004-04-01
"1546",2005,"APR",29.1,"Barranquilla",2005-04-01
"1547",2006,"APR",28.3,"Barranquilla",2006-04-01
"1548",2007,"APR",28.3,"Barranquilla",2007-04-01
"1549",2008,"APR",27.8,"Barranquilla",2008-04-01
"1550",2009,"APR",27.4,"Barranquilla",2009-04-01
"1551",2010,"APR",29.2,"Barranquilla",2010-04-01
"1552",2011,"APR",27.8,"Barranquilla",2011-04-01
"1553",2012,"APR",27.8,"Barranquilla",2012-04-01
"1554",2013,"APR",28.6,"Barranquilla",2013-04-01
"1555",2014,"APR",28.2,"Barranquilla",2014-04-01
"1556",2015,"APR",999.9,"Barranquilla",2015-04-01
"1557",1966,"MAY",999.9,"Barranquilla",1966-05-01
"1558",1967,"MAY",27.7,"Barranquilla",1967-05-01
"1559",1968,"MAY",27.5,"Barranquilla",1968-05-01
"1560",1969,"MAY",29.2,"Barranquilla",1969-05-01
"1561",1970,"MAY",27.6,"Barranquilla",1970-05-01
"1562",1971,"MAY",999.9,"Barranquilla",1971-05-01
"1563",1972,"MAY",999.9,"Barranquilla",1972-05-01
"1564",1973,"MAY",999.9,"Barranquilla",1973-05-01
"1565",1974,"MAY",999.9,"Barranquilla",1974-05-01
"1566",1975,"MAY",999.9,"Barranquilla",1975-05-01
"1567",1976,"MAY",28,"Barranquilla",1976-05-01
"1568",1977,"MAY",27.9,"Barranquilla",1977-05-01
"1569",1978,"MAY",28,"Barranquilla",1978-05-01
"1570",1979,"MAY",28.5,"Barranquilla",1979-05-01
"1571",1980,"MAY",28.9,"Barranquilla",1980-05-01
"1572",1981,"MAY",27.7,"Barranquilla",1981-05-01
"1573",1982,"MAY",28.1,"Barranquilla",1982-05-01
"1574",1983,"MAY",29,"Barranquilla",1983-05-01
"1575",1984,"MAY",28.1,"Barranquilla",1984-05-01
"1576",1985,"MAY",28.2,"Barranquilla",1985-05-01
"1577",1986,"MAY",28.4,"Barranquilla",1986-05-01
"1578",1987,"MAY",28.4,"Barranquilla",1987-05-01
"1579",1988,"MAY",28.8,"Barranquilla",1988-05-01
"1580",1989,"MAY",28.6,"Barranquilla",1989-05-01
"1581",1990,"MAY",28.8,"Barranquilla",1990-05-01
"1582",1991,"MAY",28.2,"Barranquilla",1991-05-01
"1583",1992,"MAY",28.9,"Barranquilla",1992-05-01
"1584",1993,"MAY",28.4,"Barranquilla",1993-05-01
"1585",1994,"MAY",28.5,"Barranquilla",1994-05-01
"1586",1995,"MAY",28.8,"Barranquilla",1995-05-01
"1587",1996,"MAY",28.1,"Barranquilla",1996-05-01
"1588",1997,"MAY",28.8,"Barranquilla",1997-05-01
"1589",1998,"MAY",29.1,"Barranquilla",1998-05-01
"1590",1999,"MAY",28.3,"Barranquilla",1999-05-01
"1591",2000,"MAY",28.3,"Barranquilla",2000-05-01
"1592",2001,"MAY",28,"Barranquilla",2001-05-01
"1593",2002,"MAY",29.2,"Barranquilla",2002-05-01
"1594",2003,"MAY",29.2,"Barranquilla",2003-05-01
"1595",2004,"MAY",28.4,"Barranquilla",2004-05-01
"1596",2005,"MAY",28.8,"Barranquilla",2005-05-01
"1597",2006,"MAY",28.8,"Barranquilla",2006-05-01
"1598",2007,"MAY",28.1,"Barranquilla",2007-05-01
"1599",2008,"MAY",28.2,"Barranquilla",2008-05-01
"1600",2009,"MAY",27.9,"Barranquilla",2009-05-01
"1601",2010,"MAY",29.1,"Barranquilla",2010-05-01
"1602",2011,"MAY",27.6,"Barranquilla",2011-05-01
"1603",2012,"MAY",28.4,"Barranquilla",2012-05-01
"1604",2013,"MAY",28.4,"Barranquilla",2013-05-01
"1605",2014,"MAY",28.6,"Barranquilla",2014-05-01
"1606",2015,"MAY",999.9,"Barranquilla",2015-05-01
"1607",1966,"JUN",999.9,"Barranquilla",1966-06-01
"1608",1967,"JUN",27.3,"Barranquilla",1967-06-01
"1609",1968,"JUN",27.3,"Barranquilla",1968-06-01
"1610",1969,"JUN",28.5,"Barranquilla",1969-06-01
"1611",1970,"JUN",28.5,"Barranquilla",1970-06-01
"1612",1971,"JUN",999.9,"Barranquilla",1971-06-01
"1613",1972,"JUN",999.9,"Barranquilla",1972-06-01
"1614",1973,"JUN",999.9,"Barranquilla",1973-06-01
"1615",1974,"JUN",999.9,"Barranquilla",1974-06-01
"1616",1975,"JUN",999.9,"Barranquilla",1975-06-01
"1617",1976,"JUN",27.7,"Barranquilla",1976-06-01
"1618",1977,"JUN",28,"Barranquilla",1977-06-01
"1619",1978,"JUN",28.1,"Barranquilla",1978-06-01
"1620",1979,"JUN",28.1,"Barranquilla",1979-06-01
"1621",1980,"JUN",28.6,"Barranquilla",1980-06-01
"1622",1981,"JUN",27.9,"Barranquilla",1981-06-01
"1623",1982,"JUN",28.1,"Barranquilla",1982-06-01
"1624",1983,"JUN",29.1,"Barranquilla",1983-06-01
"1625",1984,"JUN",28.2,"Barranquilla",1984-06-01
"1626",1985,"JUN",28.2,"Barranquilla",1985-06-01
"1627",1986,"JUN",28.2,"Barranquilla",1986-06-01
"1628",1987,"JUN",29.4,"Barranquilla",1987-06-01
"1629",1988,"JUN",28.1,"Barranquilla",1988-06-01
"1630",1989,"JUN",28.1,"Barranquilla",1989-06-01
"1631",1990,"JUN",29.3,"Barranquilla",1990-06-01
"1632",1991,"JUN",28.7,"Barranquilla",1991-06-01
"1633",1992,"JUN",29.2,"Barranquilla",1992-06-01
"1634",1993,"JUN",29,"Barranquilla",1993-06-01
"1635",1994,"JUN",28.7,"Barranquilla",1994-06-01
"1636",1995,"JUN",28.5,"Barranquilla",1995-06-01
"1637",1996,"JUN",28.3,"Barranquilla",1996-06-01
"1638",1997,"JUN",28.7,"Barranquilla",1997-06-01
"1639",1998,"JUN",28.6,"Barranquilla",1998-06-01
"1640",1999,"JUN",28,"Barranquilla",1999-06-01
"1641",2000,"JUN",999.9,"Barranquilla",2000-06-01
"1642",2001,"JUN",27.9,"Barranquilla",2001-06-01
"1643",2002,"JUN",28.8,"Barranquilla",2002-06-01
"1644",2003,"JUN",29.7,"Barranquilla",2003-06-01
"1645",2004,"JUN",28.9,"Barranquilla",2004-06-01
"1646",2005,"JUN",28.6,"Barranquilla",2005-06-01
"1647",2006,"JUN",28.5,"Barranquilla",2006-06-01
"1648",2007,"JUN",28.8,"Barranquilla",2007-06-01
"1649",2008,"JUN",28.2,"Barranquilla",2008-06-01
"1650",2009,"JUN",27.8,"Barranquilla",2009-06-01
"1651",2010,"JUN",28.3,"Barranquilla",2010-06-01
"1652",2011,"JUN",28.2,"Barranquilla",2011-06-01
"1653",2012,"JUN",28.5,"Barranquilla",2012-06-01
"1654",2013,"JUN",28.4,"Barranquilla",2013-06-01
"1655",2014,"JUN",29,"Barranquilla",2014-06-01
"1656",2015,"JUN",999.9,"Barranquilla",2015-06-01
"1657",1966,"JUL",28,"Barranquilla",1966-07-01
"1658",1967,"JUL",27.5,"Barranquilla",1967-07-01
"1659",1968,"JUL",27.8,"Barranquilla",1968-07-01
"1660",1969,"JUL",28.6,"Barranquilla",1969-07-01
"1661",1970,"JUL",27.7,"Barranquilla",1970-07-01
"1662",1971,"JUL",999.9,"Barranquilla",1971-07-01
"1663",1972,"JUL",999.9,"Barranquilla",1972-07-01
"1664",1973,"JUL",999.9,"Barranquilla",1973-07-01
"1665",1974,"JUL",999.9,"Barranquilla",1974-07-01
"1666",1975,"JUL",999.9,"Barranquilla",1975-07-01
"1667",1976,"JUL",28,"Barranquilla",1976-07-01
"1668",1977,"JUL",27.9,"Barranquilla",1977-07-01
"1669",1978,"JUL",28.1,"Barranquilla",1978-07-01
"1670",1979,"JUL",28.4,"Barranquilla",1979-07-01
"1671",1980,"JUL",28.4,"Barranquilla",1980-07-01
"1672",1981,"JUL",28.3,"Barranquilla",1981-07-01
"1673",1982,"JUL",27.9,"Barranquilla",1982-07-01
"1674",1983,"JUL",28.7,"Barranquilla",1983-07-01
"1675",1984,"JUL",27.3,"Barranquilla",1984-07-01
"1676",1985,"JUL",28.3,"Barranquilla",1985-07-01
"1677",1986,"JUL",28.5,"Barranquilla",1986-07-01
"1678",1987,"JUL",28.2,"Barranquilla",1987-07-01
"1679",1988,"JUL",28.2,"Barranquilla",1988-07-01
"1680",1989,"JUL",28.2,"Barranquilla",1989-07-01
"1681",1990,"JUL",29,"Barranquilla",1990-07-01
"1682",1991,"JUL",28.5,"Barranquilla",1991-07-01
"1683",1992,"JUL",28.6,"Barranquilla",1992-07-01
"1684",1993,"JUL",28.2,"Barranquilla",1993-07-01
"1685",1994,"JUL",28.2,"Barranquilla",1994-07-01
"1686",1995,"JUL",28,"Barranquilla",1995-07-01
"1687",1996,"JUL",28,"Barranquilla",1996-07-01
"1688",1997,"JUL",28.9,"Barranquilla",1997-07-01
"1689",1998,"JUL",28.4,"Barranquilla",1998-07-01
"1690",1999,"JUL",28.1,"Barranquilla",1999-07-01
"1691",2000,"JUL",28.2,"Barranquilla",2000-07-01
"1692",2001,"JUL",28.2,"Barranquilla",2001-07-01
"1693",2002,"JUL",28.1,"Barranquilla",2002-07-01
"1694",2003,"JUL",28.8,"Barranquilla",2003-07-01
"1695",2004,"JUL",28,"Barranquilla",2004-07-01
"1696",2005,"JUL",28.7,"Barranquilla",2005-07-01
"1697",2006,"JUL",999.9,"Barranquilla",2006-07-01
"1698",2007,"JUL",28.6,"Barranquilla",2007-07-01
"1699",2008,"JUL",28,"Barranquilla",2008-07-01
"1700",2009,"JUL",28.3,"Barranquilla",2009-07-01
"1701",2010,"JUL",27.8,"Barranquilla",2010-07-01
"1702",2011,"JUL",27.9,"Barranquilla",2011-07-01
"1703",2012,"JUL",999.9,"Barranquilla",2012-07-01
"1704",2013,"JUL",28.6,"Barranquilla",2013-07-01
"1705",2014,"JUL",29.2,"Barranquilla",2014-07-01
"1706",2015,"JUL",999.9,"Barranquilla",2015-07-01
"1707",1966,"AUG",28.2,"Barranquilla",1966-08-01
"1708",1967,"AUG",27.8,"Barranquilla",1967-08-01
"1709",1968,"AUG",28,"Barranquilla",1968-08-01
"1710",1969,"AUG",27.4,"Barranquilla",1969-08-01
"1711",1970,"AUG",27.4,"Barranquilla",1970-08-01
"1712",1971,"AUG",999.9,"Barranquilla",1971-08-01
"1713",1972,"AUG",999.9,"Barranquilla",1972-08-01
"1714",1973,"AUG",999.9,"Barranquilla",1973-08-01
"1715",1974,"AUG",999.9,"Barranquilla",1974-08-01
"1716",1975,"AUG",999.9,"Barranquilla",1975-08-01
"1717",1976,"AUG",28.3,"Barranquilla",1976-08-01
"1718",1977,"AUG",28.1,"Barranquilla",1977-08-01
"1719",1978,"AUG",28.4,"Barranquilla",1978-08-01
"1720",1979,"AUG",27.9,"Barranquilla",1979-08-01
"1721",1980,"AUG",28.1,"Barranquilla",1980-08-01
"1722",1981,"AUG",27.6,"Barranquilla",1981-08-01
"1723",1982,"AUG",28.6,"Barranquilla",1982-08-01
"1724",1983,"AUG",28.7,"Barranquilla",1983-08-01
"1725",1984,"AUG",27.5,"Barranquilla",1984-08-01
"1726",1985,"AUG",27.9,"Barranquilla",1985-08-01
"1727",1986,"AUG",28.5,"Barranquilla",1986-08-01
"1728",1987,"AUG",28.9,"Barranquilla",1987-08-01
"1729",1988,"AUG",27.2,"Barranquilla",1988-08-01
"1730",1989,"AUG",28.2,"Barranquilla",1989-08-01
"1731",1990,"AUG",28.7,"Barranquilla",1990-08-01
"1732",1991,"AUG",29,"Barranquilla",1991-08-01
"1733",1992,"AUG",28,"Barranquilla",1992-08-01
"1734",1993,"AUG",28.2,"Barranquilla",1993-08-01
"1735",1994,"AUG",28.6,"Barranquilla",1994-08-01
"1736",1995,"AUG",27.8,"Barranquilla",1995-08-01
"1737",1996,"AUG",28.5,"Barranquilla",1996-08-01
"1738",1997,"AUG",29.2,"Barranquilla",1997-08-01
"1739",1998,"AUG",29,"Barranquilla",1998-08-01
"1740",1999,"AUG",27.5,"Barranquilla",1999-08-01
"1741",2000,"AUG",28.8,"Barranquilla",2000-08-01
"1742",2001,"AUG",28.9,"Barranquilla",2001-08-01
"1743",2002,"AUG",28.9,"Barranquilla",2002-08-01
"1744",2003,"AUG",29.2,"Barranquilla",2003-08-01
"1745",2004,"AUG",28.7,"Barranquilla",2004-08-01
"1746",2005,"AUG",28.4,"Barranquilla",2005-08-01
"1747",2006,"AUG",28.3,"Barranquilla",2006-08-01
"1748",2007,"AUG",27.7,"Barranquilla",2007-08-01
"1749",2008,"AUG",27.7,"Barranquilla",2008-08-01
"1750",2009,"AUG",28.4,"Barranquilla",2009-08-01
"1751",2010,"AUG",28,"Barranquilla",2010-08-01
"1752",2011,"AUG",28.2,"Barranquilla",2011-08-01
"1753",2012,"AUG",28.4,"Barranquilla",2012-08-01
"1754",2013,"AUG",27.7,"Barranquilla",2013-08-01
"1755",2014,"AUG",28.7,"Barranquilla",2014-08-01
"1756",2015,"AUG",999.9,"Barranquilla",2015-08-01
"1757",1966,"SEP",27.6,"Barranquilla",1966-09-01
"1758",1967,"SEP",27.3,"Barranquilla",1967-09-01
"1759",1968,"SEP",27.8,"Barranquilla",1968-09-01
"1760",1969,"SEP",27.8,"Barranquilla",1969-09-01
"1761",1970,"SEP",26.9,"Barranquilla",1970-09-01
"1762",1971,"SEP",999.9,"Barranquilla",1971-09-01
"1763",1972,"SEP",999.9,"Barranquilla",1972-09-01
"1764",1973,"SEP",999.9,"Barranquilla",1973-09-01
"1765",1974,"SEP",999.9,"Barranquilla",1974-09-01
"1766",1975,"SEP",999.9,"Barranquilla",1975-09-01
"1767",1976,"SEP",28.2,"Barranquilla",1976-09-01
"1768",1977,"SEP",28,"Barranquilla",1977-09-01
"1769",1978,"SEP",27.3,"Barranquilla",1978-09-01
"1770",1979,"SEP",27.5,"Barranquilla",1979-09-01
"1771",1980,"SEP",28.5,"Barranquilla",1980-09-01
"1772",1981,"SEP",27.6,"Barranquilla",1981-09-01
"1773",1982,"SEP",28.3,"Barranquilla",1982-09-01
"1774",1983,"SEP",28.5,"Barranquilla",1983-09-01
"1775",1984,"SEP",27,"Barranquilla",1984-09-01
"1776",1985,"SEP",27.6,"Barranquilla",1985-09-01
"1777",1986,"SEP",28.2,"Barranquilla",1986-09-01
"1778",1987,"SEP",28.4,"Barranquilla",1987-09-01
"1779",1988,"SEP",27.4,"Barranquilla",1988-09-01
"1780",1989,"SEP",26.8,"Barranquilla",1989-09-01
"1781",1990,"SEP",28.8,"Barranquilla",1990-09-01
"1782",1991,"SEP",28.3,"Barranquilla",1991-09-01
"1783",1992,"SEP",28.3,"Barranquilla",1992-09-01
"1784",1993,"SEP",27.4,"Barranquilla",1993-09-01
"1785",1994,"SEP",28.6,"Barranquilla",1994-09-01
"1786",1995,"SEP",28.5,"Barranquilla",1995-09-01
"1787",1996,"SEP",28.1,"Barranquilla",1996-09-01
"1788",1997,"SEP",28.8,"Barranquilla",1997-09-01
"1789",1998,"SEP",28,"Barranquilla",1998-09-01
"1790",1999,"SEP",26.7,"Barranquilla",1999-09-01
"1791",2000,"SEP",27.9,"Barranquilla",2000-09-01
"1792",2001,"SEP",27.7,"Barranquilla",2001-09-01
"1793",2002,"SEP",28,"Barranquilla",2002-09-01
"1794",2003,"SEP",29.2,"Barranquilla",2003-09-01
"1795",2004,"SEP",27.6,"Barranquilla",2004-09-01
"1796",2005,"SEP",28.3,"Barranquilla",2005-09-01
"1797",2006,"SEP",28.4,"Barranquilla",2006-09-01
"1798",2007,"SEP",28.1,"Barranquilla",2007-09-01
"1799",2008,"SEP",27.9,"Barranquilla",2008-09-01
"1800",2009,"SEP",29,"Barranquilla",2009-09-01
"1801",2010,"SEP",999.9,"Barranquilla",2010-09-01
"1802",2011,"SEP",27.9,"Barranquilla",2011-09-01
"1803",2012,"SEP",28.8,"Barranquilla",2012-09-01
"1804",2013,"SEP",27.7,"Barranquilla",2013-09-01
"1805",2014,"SEP",27.9,"Barranquilla",2014-09-01
"1806",2015,"SEP",999.9,"Barranquilla",2015-09-01
"1807",1966,"OCT",26.9,"Barranquilla",1966-10-01
"1808",1967,"OCT",27.1,"Barranquilla",1967-10-01
"1809",1968,"OCT",26.8,"Barranquilla",1968-10-01
"1810",1969,"OCT",26.6,"Barranquilla",1969-10-01
"1811",1970,"OCT",27,"Barranquilla",1970-10-01
"1812",1971,"OCT",999.9,"Barranquilla",1971-10-01
"1813",1972,"OCT",999.9,"Barranquilla",1972-10-01
"1814",1973,"OCT",999.9,"Barranquilla",1973-10-01
"1815",1974,"OCT",999.9,"Barranquilla",1974-10-01
"1816",1975,"OCT",999.9,"Barranquilla",1975-10-01
"1817",1976,"OCT",27.3,"Barranquilla",1976-10-01
"1818",1977,"OCT",28.1,"Barranquilla",1977-10-01
"1819",1978,"OCT",27.3,"Barranquilla",1978-10-01
"1820",1979,"OCT",28.2,"Barranquilla",1979-10-01
"1821",1980,"OCT",27.5,"Barranquilla",1980-10-01
"1822",1981,"OCT",27.2,"Barranquilla",1981-10-01
"1823",1982,"OCT",27.1,"Barranquilla",1982-10-01
"1824",1983,"OCT",27.4,"Barranquilla",1983-10-01
"1825",1984,"OCT",27.1,"Barranquilla",1984-10-01
"1826",1985,"OCT",27.1,"Barranquilla",1985-10-01
"1827",1986,"OCT",27.4,"Barranquilla",1986-10-01
"1828",1987,"OCT",27.3,"Barranquilla",1987-10-01
"1829",1988,"OCT",27.3,"Barranquilla",1988-10-01
"1830",1989,"OCT",27.7,"Barranquilla",1989-10-01
"1831",1990,"OCT",27.3,"Barranquilla",1990-10-01
"1832",1991,"OCT",27.8,"Barranquilla",1991-10-01
"1833",1992,"OCT",28,"Barranquilla",1992-10-01
"1834",1993,"OCT",28.4,"Barranquilla",1993-10-01
"1835",1994,"OCT",27.7,"Barranquilla",1994-10-01
"1836",1995,"OCT",27.4,"Barranquilla",1995-10-01
"1837",1996,"OCT",27.5,"Barranquilla",1996-10-01
"1838",1997,"OCT",28.2,"Barranquilla",1997-10-01
"1839",1998,"OCT",27.7,"Barranquilla",1998-10-01
"1840",1999,"OCT",26.6,"Barranquilla",1999-10-01
"1841",2000,"OCT",28.3,"Barranquilla",2000-10-01
"1842",2001,"OCT",27.7,"Barranquilla",2001-10-01
"1843",2002,"OCT",28.7,"Barranquilla",2002-10-01
"1844",2003,"OCT",999.9,"Barranquilla",2003-10-01
"1845",2004,"OCT",999.9,"Barranquilla",2004-10-01
"1846",2005,"OCT",27,"Barranquilla",2005-10-01
"1847",2006,"OCT",28,"Barranquilla",2006-10-01
"1848",2007,"OCT",26.8,"Barranquilla",2007-10-01
"1849",2008,"OCT",27.5,"Barranquilla",2008-10-01
"1850",2009,"OCT",28.1,"Barranquilla",2009-10-01
"1851",2010,"OCT",27.7,"Barranquilla",2010-10-01
"1852",2011,"OCT",26.5,"Barranquilla",2011-10-01
"1853",2012,"OCT",27.8,"Barranquilla",2012-10-01
"1854",2013,"OCT",27.9,"Barranquilla",2013-10-01
"1855",2014,"OCT",27.8,"Barranquilla",2014-10-01
"1856",2015,"OCT",999.9,"Barranquilla",2015-10-01
"1857",1966,"NOV",27,"Barranquilla",1966-11-01
"1858",1967,"NOV",27.1,"Barranquilla",1967-11-01
"1859",1968,"NOV",27.4,"Barranquilla",1968-11-01
"1860",1969,"NOV",27,"Barranquilla",1969-11-01
"1861",1970,"NOV",26.7,"Barranquilla",1970-11-01
"1862",1971,"NOV",999.9,"Barranquilla",1971-11-01
"1863",1972,"NOV",999.9,"Barranquilla",1972-11-01
"1864",1973,"NOV",999.9,"Barranquilla",1973-11-01
"1865",1974,"NOV",999.9,"Barranquilla",1974-11-01
"1866",1975,"NOV",26.6,"Barranquilla",1975-11-01
"1867",1976,"NOV",28,"Barranquilla",1976-11-01
"1868",1977,"NOV",28.1,"Barranquilla",1977-11-01
"1869",1978,"NOV",28,"Barranquilla",1978-11-01
"1870",1979,"NOV",27.9,"Barranquilla",1979-11-01
"1871",1980,"NOV",27.5,"Barranquilla",1980-11-01
"1872",1981,"NOV",27.7,"Barranquilla",1981-11-01
"1873",1982,"NOV",27.7,"Barranquilla",1982-11-01
"1874",1983,"NOV",28,"Barranquilla",1983-11-01
"1875",1984,"NOV",26.6,"Barranquilla",1984-11-01
"1876",1985,"NOV",27.4,"Barranquilla",1985-11-01
"1877",1986,"NOV",27.8,"Barranquilla",1986-11-01
"1878",1987,"NOV",28.5,"Barranquilla",1987-11-01
"1879",1988,"NOV",27.3,"Barranquilla",1988-11-01
"1880",1989,"NOV",27.3,"Barranquilla",1989-11-01
"1881",1990,"NOV",28,"Barranquilla",1990-11-01
"1882",1991,"NOV",28,"Barranquilla",1991-11-01
"1883",1992,"NOV",28.1,"Barranquilla",1992-11-01
"1884",1993,"NOV",27.7,"Barranquilla",1993-11-01
"1885",1994,"NOV",27.6,"Barranquilla",1994-11-01
"1886",1995,"NOV",28.4,"Barranquilla",1995-11-01
"1887",1996,"NOV",27.1,"Barranquilla",1996-11-01
"1888",1997,"NOV",28,"Barranquilla",1997-11-01
"1889",1998,"NOV",27.6,"Barranquilla",1998-11-01
