"No","m2s_ratio","lonm","latm","area(km2)","Vol(km3/yr)","nyr","yrb","yre","elev(m)","CT","CN","River_Name","OCN","Station_Name"
52,53333,7.25,7.75,60500.0,10.603,46.8,1930,1989,173.0,"CM","AF","Bénoué","ATL","Garoua-dono"
25,36429,-77.25,6.25,9432.0,55.789,24.2,1966,1990,18.0,"CO","SA","Atrato","ATL","Tagachi, Co"
49,33002,-122.25,37.75,60885.0,21.504,57.0,1948,2006,0.0,"US","NA","Sacramento","PAC","FREEPORT CA"
70,22857,86.75,20.75,50000.0,21.283,1.0,1971,1971,-9999.0,"IN","AS","Brahmani","IND","Barakot bri"
29,22319,-58.75,6.25,66600.0,66.436,28.8,1965,1995,18.0,"GY","SA","Essequibo","ATL","Plantain Is"
55,21111,120.25,34.25,121330.0,26.971,53.7,1915,1989,25.0,"CN","AS","Huai","PAC","Bengbu, Chi"
187,20000,135.25,-14.75,47400.0,3.147,32.8,1966,2001,15.5,"AU","AU","Roper","PAC","Red Rock, A"
90,19444,103.25,3.25,19000.0,16.895,31.7,1963,2000,31.0,"MY","AS","Pahang","IND","Temerloh, M"
54,19000,-81.75,52.25,118000.0,30.08,34.4,1964,2005,67.0,"CA","NA","Albany","ATL","nr Hat Isla"
88,18947,-0.75,44.75,52000.0,19.264,58.3,1920,1979,17.0,"FR","EU","Garonne","ATL","Mas-d'Agena"
79,18636,-68.75,-50.25,15550.0,22.011,37.6,1955,1994,206.0,"AR","SA","Santa Cruz","ATL","Charles Fuh"
32,18000,-92.75,57.25,997000.0,69.606,71.3,1915,2006,190.0,"CA","NA","Nelson","ATL","u/s Bladder"
10,17979,106.25,9.75,545000.0,300.351,82.6,1923,2005,-9999.0,"LA","AS","Mekong","PAC","Pakse, Laos"
181,17838,-37.75,-4.75,48200.0,3.692,32.1,1961,2006,50.0,"BR","SA","Jaguaribe","ATL","Peixe Gordo"
86,17619,-123.25,45.25,18855.0,21.004,91.0,1909,2006,32.4,"US","NA","Willamette","PAC","Salem, OR,"
67,17586,-88.25,30.75,56894.0,29.624,76.5,1930,2006,0.1,"US","NA","Alabama","ATL","Claiborne,"
198,17500,115.75,-31.75,118200.0,0.374,29.8,1970,2000,20.3,"WX","AU","Avon","IND","Walyunga, A"
99,17368,31.25,60.75,61275.0,18.72,102.0,1900,2001,72.0,"FI","EU","Vuoksi","ATL","Tainionkosk"
76,17308,39.25,47.25,378000.0,24.447,92.9,1900,1995,58.0,"RU","EU","Don","MED","Razdorskaya"
114,17059,-8.75,41.25,91491.0,17.317,36.8,1933,1969,44.0,"PT","EU","Douro (Duero)","ATL","Regua, Port"
47,16977,-68.25,58.25,86800.0,40.591,37.7,1954,1999,67.0,"CA","NA","Caniapiscau","ATL","Chute de la"
69,16897,-78.25,52.25,44300.0,28.659,42.0,1959,2001,35.0,"CA","NA","Eastmain","ATL","tete de la,"
30,16744,-122.75,48.75,217000.0,85.43,93.8,1912,2005,38.0,"CA","NA","Fraser","PAC","Hope, Canad"
61,16667,78.75,67.25,100000.0,32.805,32.1,1962,1996,-9999.0,"RU","AS","Taz","ARC","Sidorovsk,"
81,16667,-66.25,58.75,35200.0,23.462,15.8,1962,1979,104.0,"CA","NA","George","ATL","aux Chutes,"
16,16062,-67.75,48.75,773888.0,224.654,106.8,1900,2006,47.0,"US","NA","St Lawrence","ATL","Cornwall ON"
107,16000,-87.75,56.25,94300.0,19.933,22.6,1970,1994,50.0,"CA","NA","Severn-CA","ATL","Limestone R"
33,15897,106.75,73.25,275000.0,87.626,13.4,1961,1994,-9999.0,"RU","AS","Khatanga","ARC","Khatanga, R"
63,15882,-57.25,5.75,51600.0,34.267,7.0,1973,1979,9.0,"SR","SA","Courantyne/Cora","ATL","Mataway (Ma"
39,15714,10.25,3.75,131500.0,62.633,36.6,1943,1980,25.0,"CM","AF","Sanaga","ATL","Edéa, Camer"
82,15385,39.25,-7.75,158200.0,25.738,16.6,1954,1978,64.0,"TZ","AF","Rufiji","IND","Stiegeler's"
186,15313,129.75,-15.25,44900.0,4.205,39.5,1953,2001,40.0,"NT","AU","Victoria","IND","Coolibah Ho"
15,15233,95.75,17.75,117900.0,256.783,11.0,1978,1988,-9999.0,"MM","AS","Irrawaddy (Ayey","IND","Sagaing, My"
43,15085,-92.25,18.25,50743.0,58.594,46.0,1949,2000,60.0,"MX","NA","Usumacinta","ATL","Boca del Ce"
53,15000,-162.25,60.25,80549.0,37.743,54.3,1951,2006,61.0,"AK","NA","Kuskokwim","PAC","Crooked Ck,"
59,14865,-74.25,45.75,89600.0,36.484,91.8,1914,2005,70.0,"CA","NA","Ottawa","ATL","Chats Falls"
74,14839,-76.25,39.25,62419.0,30.392,106.8,1900,2006,88.4,"US","NA","Susquehanna","ATL","Harrisburg,"
108,14762,-158.25,58.75,25511.0,20.987,16.0,1977,1993,27.4,"AK","NA","Nushagak","PAC","Ekwok, AK,"
57,14737,46.25,31.75,134000.0,38.193,34.1,1906,1972,34.0,"IQ","AM","Tigris (Dicle,","IND","Baghdad, Ir"
21,14651,-123.75,46.25,613827.0,164.86,106.8,1900,2006,0.0,"US","NA","Columbia","PAC","The Dalles,"
44,14576,-54.25,5.75,63700.0,51.629,45.0,1951,1995,10.0,"SR","SA","Maroni (Marowij","ATL","Langa Tabbe"
131,14375,10.25,-2.75,20000.0,16.315,6.3,1965,1974,-9999.0,"GA","AF","Nyanga","ATL","Ibanga, Gab"
11,14354,-49.25,-2.25,742300.0,357.689,49.4,1978,2006,1.9,"BR","SA","Tocantins","ATL","Tucurui, Br"
80,14286,-51.75,3.75,25100.0,26.381,42.8,1953,1996,103.0,"GF","SA","Oyapock (Oiapoq","ATL","Maripa, Fre"
129,13889,118.25,5.75,10800.0,16.285,3.8,1981,1985,-9999.0,"MY","AS","Kinabatangan","PAC","Balat, Mala"
23,13818,-58.25,-33.75,249312.0,166.907,57.3,1965,2006,1.2,"AR","SA","Uruguay (Urugua","ATL","Concordia,"
91,13600,-80.75,51.75,61100.0,23.795,45.3,1959,2005,29.0,"CA","NA","Moose","ATL","Moose River"
170,13378,-44.25,-2.75,50800.0,7.455,42.6,1968,2006,15.0,"BR","SA","Itapecuru","ATL","Cantanhede,"
118,13333,-72.75,-41.75,8620.0,20.97,43.4,1943,1986,-9999.0,"CL","SA","Puelo","PAC","Carrero de,"
139,13333,71.75,66.25,48000.0,14.42,38.1,1955,2005,-9999.0,"RU","AS","Nadym","ARC","Nadym, Russ"
41,13286,111.75,2.75,34053.0,70.272,31.5,1962,1994,-9999.0,"MY","AS","Rajang","PAC","Kapit Wharf"
193,13200,-110.25,27.75,57908.0,2.478,4.0,1976,1979,480.0,"MX","NA","Yaqui","PAC","El Novillo,"
188,13143,122.25,40.75,120764.0,3.512,56.8,1938,2000,-9999.0,"CN","AS","Liao","PAC","Chiling, Ch"
133,12941,-93.16,17.98,9000.0,4.546,3.0,1976,1978,-9999.0,"MX","NA","Rompido de Sama","ATL","Reforma, Me"
89,12857,-91.75,31.25,174824.0,27.662,78.0,1928,2006,13.5,"US","NA","Red","ATL","Alexandria,"
123,12857,-88.25,31.75,39847.1,21.223,78.2,1928,2006,17.1,"US","NA","Tombigbee River","ATL","Demopolis L"
132,12778,-47.75,-1.75,38178.0,18.376,33.7,1971,2006,-9999.0,"BR","SA","Capim","ATL","Badajos, Br"
159,12727,37.75,45.25,48100.0,11.837,86.8,1911,1998,5.0,"RU","EU","Kuban","MED","Tikhovskiy,"
73,12703,-56.25,-5.25,40400.0,37.088,2.5,1986,1992,-9999.0,"BR","SA","Jamanxim","ATL","Jamanxim, B"
96,12593,-66.25,45.25,39900.0,35.739,76.6,1918,1995,6.0,"CA","NA","Saint John","ATL","d/s Mactaqu"
28,12568,9.75,-0.75,203500.0,147.964,42.0,1930,1975,9.0,"GA","AF","Ogooué","ATL","Lambaréné,"
50,12545,-51.75,-29.75,71454.0,54.999,58.4,1972,2006,-9999.0,"BR","SA","Jacui","ATL","Passo do Ra"
128,12500,43.75,66.25,56400.0,20.219,84.4,1920,2006,19.0,"RU","EU","Mezen","ARC","Malonisogor"
1,12462,-51.75,-0.75,4618750.0,5389.537,79.0,1928,2006,37.0,"BR","SA","Amazon","ATL","Obidos, Bra"
87,12414,-130.25,54.25,42200.0,28.536,72.8,1928,2006,100.0,"CA","NA","Skeena","PAC","Usk, Canada"
12,12315,-55.25,-2.75,387378.0,337.803,24.0,1973,1998,-9999.0,"BR","SA","Tapajos","ATL","Jatoba, Bra"
157,12308,113.75,73.25,78800.0,14.449,48.1,1954,2005,-9999.0,"RU","AS","Anabar","ARC","Saskylakh,"
177,12295,42.75,0.75,179520.0,6.086,25.8,1951,1979,-9999.0,"SO","AF","Juba","IND","Luug (Lugh,"
